sort_order,clause_key,heading,numbered,prints_when_plain_english,depends_on_fields,tokens_in_body,if_token_empty,dead_if
960,INSURANCE_RISK.RELEASE,Release of Liability,yes,ALWAYS,(none),(none),n/a,never
961,INSURANCE_RISK.RELEASE_LESSOR,Release of Liability by Lessor,yes,ALWAYS,(none),(none),n/a,never
1100,INSURANCE_RISK.SAFETY_ATTIRE,Required Protective Attire,yes,ALWAYS,(none),(none),n/a,never
1200,INSURANCE_RISK.TRAIL_RIDING,Trail Riding Risks,yes,permitted activities include TRAIL,TXN.PERMITTED_ACTIVITIES,(none),n/a,TRAIL not selected
1210,INSURANCE_RISK.JUMPING_RISKS,Jumping Risks,yes,permitted activities include JUMPING,TXN.PERMITTED_ACTIVITIES,(none),n/a,JUMPING not selected
1220,INSURANCE_RISK.COMPETITION_RISKS,Competition Risks,yes,permitted activities include COMPETITIONS,TXN.PERMITTED_ACTIVITIES,(none),n/a,COMPETITIONS not selected
1230,INSURANCE_RISK.SHARED_ARENA_RISKS,Shared Arena Riding Risks,yes,permitted activities include ARENA_GROUP,TXN.PERMITTED_ACTIVITIES,(none),n/a,ARENA_GROUP not selected
1300,INSURANCE_RISK.WAIVER_UNKNOWN,Waiver of Unknown Claims,yes,ALWAYS,(none),(none),n/a,never
1400,INSURANCE_RISK.INDEMNIFICATION,Mutual Indemnification,yes,ALWAYS,(none),(none),n/a,never
1520,INSURANCE_RISK.LIMITATION,Limitation of Liability,yes,ALWAYS,(none),HORSE.FAIR_MARKET_VALUE,'...shall not exceed the Horse's current fair market value of.',never
